,FileName,XResolution,YResolution,ExposureTime,FNumber,ISO,DateTime,MaxApertureValue,WhiteBalance,FocusPosition,FocusDistance
430,20180611041421.JPG,300,300,0.01666666667,8,200,2018/06/11 04:14:21,2.82842712474619,FLASH       ,17,0.298538261891796
431,20180611041431.JPG,300,300,0.01666666667,8,200,2018/06/11 04:14:31,2.82842712474619,FLASH       ,17,0.298538261891796
432,20180611041441.JPG,300,300,0.01666666667,8,200,2018/06/11 04:14:41,2.82842712474619,FLASH       ,17,0.298538261891796
433,20180611041451.JPG,300,300,0.01666666667,8,200,2018/06/11 04:14:51,2.82842712474619,FLASH       ,17,0.298538261891796
434,20180611041501.JPG,300,300,0.01666666667,8,200,2018/06/11 04:15:01,2.82842712474619,FLASH       ,17,0.298538261891796
435,20180611041511.JPG,300,300,0.01666666667,8,200,2018/06/11 04:15:11,2.82842712474619,FLASH       ,17,0.298538261891796
436,20180611041521.JPG,300,300,0.01666666667,8,200,2018/06/11 04:15:21,2.82842712474619,FLASH       ,17,0.298538261891796
437,20180611041531.JPG,300,300,0.01666666667,8,200,2018/06/11 04:15:31,2.82842712474619,FLASH       ,17,0.298538261891796
438,20180611041541.JPG,300,300,0.01666666667,8,200,2018/06/11 04:15:41,2.82842712474619,FLASH       ,17,0.298538261891796
439,20180611041551.JPG,300,300,0.01666666667,8,200,2018/06/11 04:15:51,2.82842712474619,FLASH       ,17,0.298538261891796
440,20180611041601.JPG,300,300,0.01666666667,8,200,2018/06/11 04:16:01,2.82842712474619,FLASH       ,17,0.298538261891796
441,20180611041611.JPG,300,300,0.01666666667,8,200,2018/06/11 04:16:11,2.82842712474619,FLASH       ,17,0.298538261891796
442,20180611041621.JPG,300,300,0.01666666667,8,200,2018/06/11 04:16:21,2.82842712474619,FLASH       ,17,0.298538261891796
443,20180611041631.JPG,300,300,0.01666666667,8,200,2018/06/11 04:16:31,2.82842712474619,FLASH       ,17,0.298538261891796
444,20180611041641.JPG,300,300,0.01666666667,8,200,2018/06/11 04:16:41,2.82842712474619,FLASH       ,17,0.298538261891796
445,20180611041651.JPG,300,300,0.01666666667,8,200,2018/06/11 04:16:51,2.82842712474619,FLASH       ,17,0.298538261891796
446,20180611041701.JPG,300,300,0.01666666667,8,200,2018/06/11 04:17:01,2.82842712474619,FLASH       ,17,0.298538261891796
447,20180611041711.JPG,300,300,0.01666666667,8,200,2018/06/11 04:17:11,2.82842712474619,FLASH       ,17,0.298538261891796
448,20180611041721.JPG,300,300,0.01666666667,8,200,2018/06/11 04:17:21,2.82842712474619,FLASH       ,17,0.298538261891796
449,20180611041731.JPG,300,300,0.01666666667,8,200,2018/06/11 04:17:31,2.82842712474619,FLASH       ,17,0.298538261891796
450,20180611041741.JPG,300,300,0.01666666667,8,200,2018/06/11 04:17:41,2.82842712474619,FLASH       ,17,0.298538261891796
451,20180611041751.JPG,300,300,0.01666666667,8,200,2018/06/11 04:17:51,2.82842712474619,FLASH       ,17,0.298538261891796
