filename,ID,XResolution,YResolution,ExposureTime,FNumber,ISO,image-datetime,MaxApertureValue,WhiteBalance,FocusPosition,FocusDistance,Unnamed: 0,image-longitude,image-latitude,image-altitude-meters,image-camera-roll-degrees,image-camera-pitch-degrees,heading_deg,cog_deg,image-depth,sog_m_s,time_unix_seconds,conductivity,depth_m.1,pressure_psi,salinity,speed_of_sound_m_s,temperature_c,positioning_ok,attitude_ok,depth_ok,altitude_ok,phototime,approx_vertdim_m,approx_horizdim_m,approx_area_m2,headingoffset_rad,cornerdist_m,longpos_deg,TRcornerlong,TRcornerlat,TLcornerlong,TLcornerlat,BLcornerlong,BLcornerlat,BRcornerlong,BRcornerlat,overlap,polygon_m,image-set-uuid,input_path
20180611041431.png,431,300,300,0.01666666667,8,200,2018-06-11 04:14:31,2.82842712474619,FLASH       ,17,0.298538261891796,426916,-153.60531372,11.25171832,1.5,1.326,1.993,89.866,221.63353933657,5203.744,0.0240831891575846,1528690471.02991,3.21329,5203.744,7688.29530138297,34.6647,1545.447,1.5236,1,1,1,1,2018-06-11 04:14:31,1.9072040275549003,2.8450878661054095,5.426163036983814,0.9802482075901349,1.7125968708792698,206.39468628,-153.60530495643945,11.251705480061675,-153.60530501737549,11.25173120026161,-153.6053224835613,11.251731159938057,-153.60532242262374,11.251705439738128,0.0,"POLYGON ((-153.60532242262374 11.251705439738128, -153.6053224835613 11.251731159938057, -153.60530501737549 11.25173120026161, -153.60530495643945 11.251705480061675, -153.60532242262374 11.251705439738128, -153.60532242262374 11.251705439738128))",83afeab9-ce56-48c1-9df3-9b700b52030a,/home/tobfer/.paidiverpy_cache/benthic_csv/images
20180611041531.png,437,300,300,0.01666666667,8,200,2018-06-11 04:15:31,2.82842712474619,FLASH       ,17,0.298538261891796,427988,-153.60532046,11.25168357,1.5,0.7,3.255,89.979,265.914383220025,5203.806,0.0140356688476182,1528690531.0678,3.21483,5203.806,7688.38667515791,34.7368,1545.326,1.4727,1,1,1,1,2018-06-11 04:15:31,1.9072040275549003,2.8450878661054095,5.426163036983814,0.9802482075901349,1.7125968708792698,206.39467954,-153.6053117221107,11.251670713025248,-153.60531173165973,11.251696433293851,-153.60532919789006,11.251696426974483,-153.60532918833948,11.25167070670588,0.0,"POLYGON ((-153.60532918833948 11.25167070670588, -153.60532919789006 11.251696426974483, -153.60531173165973 11.251696433293851, -153.6053117221107 11.251670713025248, -153.60532918833948 11.25167070670588, -153.60532918833948 11.25167070670588))",83afeab9-ce56-48c1-9df3-9b700b52030a,/home/tobfer/.paidiverpy_cache/benthic_csv/images
20180611041601.png,440,300,300,0.01666666667,8,200,2018-06-11 04:16:01,2.82842712474619,FLASH       ,17,0.298538261891796,428522,-153.60532189,11.25165983,1.6,0.837,1.101,90.093,294.775140568832,5203.694,0.0143178210632764,1528690561.01589,3.21441,5203.694,7688.22133213658,34.7566,1545.248,1.449,1,1,1,1,2018-06-11 04:16:01,1.979998074408141,2.9536790060330973,5.848278744365285,0.9802482075901349,1.7779631636609217,206.39467811,-153.6053128455258,11.251646464510445,-153.6053128016188,11.251673166435351,-153.60533093447503,11.25167319548927,-153.60533097838035,11.251646493564365,0.0,"POLYGON ((-153.6053128455258 11.251646464510445, -153.60533097838035 11.251646493564365, -153.60533093447503 11.25167319548927, -153.6053128016188 11.251673166435351, -153.6053128455258 11.251646464510445, -153.6053128455258 11.251646464510445))",83afeab9-ce56-48c1-9df3-9b700b52030a,/home/tobfer/.paidiverpy_cache/benthic_csv/images
20180611041641.png,444,300,300,0.01666666667,8,200,2018-06-11 04:16:41,2.82842712474619,FLASH       ,17,0.298538261891796,429235,-153.60532022,11.25164222,1.5,0.705,3.037,90.376,353.418055344822,5203.766,0.0261725046566048,1528690601.0077,3.2134,5203.766,7688.32720968533,34.7417,1545.241,1.4515,1,1,1,1,2018-06-11 04:16:41,1.9072040275549003,2.8450878661054095,5.426163036983814,0.9802482075901349,1.7125968708792698,206.39467978,-153.60531157256716,11.251629303568597,-153.6053114015807,11.251655023285167,-153.60532886743363,11.251655136431141,-153.60532903841855,11.251629416714563,0.0,"POLYGON ((-153.60531157256716 11.251629303568597, -153.60532903841855 11.251629416714563, -153.60532886743363 11.251655136431141, -153.6053114015807 11.251655023285167, -153.60531157256716 11.251629303568597, -153.60531157256716 11.251629303568597))",83afeab9-ce56-48c1-9df3-9b700b52030a,/home/tobfer/.paidiverpy_cache/benthic_csv/images
20180611041741.png,450,300,300,0.01666666667,8,200,2018-06-11 04:17:41,2.82842712474619,FLASH       ,17,0.298538261891796,430306,-153.60531468,11.25162876,1.5,0.575,2.673,90.705,43.4088597288054,5203.735,0.0509313263129874,1528690661.0088,3.21175,5203.735,7688.28224798655,34.7246,1545.206,1.4487,1,1,1,1,2018-06-11 04:17:41,1.9072040275549003,2.8450878661054095,5.426163036983814,0.9802482075901349,1.7125968708792698,206.39468532,-153.60530610784394,11.251615794765742,-153.6053057872508,11.251641513089123,-153.6053232521568,11.251641725234002,-153.6053235727484,11.251616006910599,0.0,"POLYGON ((-153.60530610784394 11.251615794765742, -153.6053235727484 11.251616006910599, -153.6053232521568 11.251641725234002, -153.6053057872508 11.251641513089123, -153.60530610784394 11.251615794765742, -153.60530610784394 11.251615794765742))",83afeab9-ce56-48c1-9df3-9b700b52030a,/home/tobfer/.paidiverpy_cache/benthic_csv/images
20180611041811.png,453,300,300,0.01666666667,8,200,2018-06-11 04:18:11,2.82842712474619,FLASH       ,17,0.298538261891796,430843,-153.60529894,11.25163219,1.9,0.374,0.435,89.917,58.94059117029,5203.366,0.102727795654341,1528690691.0212,3.21091,5203.366,7687.72965420474,34.7084,1545.203,1.4546,1,1,1,1,2018-06-11 04:18:11,2.198380214967862,3.2794524258161593,7.209483328842605,0.980248207590135,1.9740620420058759,206.39470106,-153.60528885184397,11.251617380895622,-153.6052888953499,11.25164702789378,-153.60530902815708,11.251646999104024,-153.6053089846491,11.25161735210587,0.0,"POLYGON ((-153.6053089846491 11.25161735210587, -153.60530902815708 11.251646999104024, -153.6052888953499 11.25164702789378, -153.60528885184397 11.251617380895622, -153.6053089846491 11.25161735210587, -153.6053089846491 11.25161735210587))",83afeab9-ce56-48c1-9df3-9b700b52030a,/home/tobfer/.paidiverpy_cache/benthic_csv/images
20180611041901.png,458,300,300,0.01666666667,8,200,2018-06-11 04:19:01,2.82842712474619,FLASH       ,17,0.298538261891796,431736,-153.60526246,11.25164123,1.7,0.286,0.176,89.6,64.7079788429787,5203.449,0.100647901120689,1528690741.01751,3.21014,5203.449,7687.85293628204,34.7107,1545.159,1.4435,1,1,1,1,2018-06-11 04:19:01,2.0527921212613816,3.0622701459607846,6.286204028802239,0.9802482075901348,1.843329456442573,206.39473754,-153.60525296257302,11.251627453290412,-153.60525315835707,11.251655136265612,-153.6052719574279,11.251655006709273,-153.60527176164203,11.251627323734084,0.0,"POLYGON ((-153.60527176164203 11.251627323734084, -153.6052719574279 11.251655006709273, -153.60525315835707 11.251655136265612, -153.60525296257302 11.251627453290412, -153.60527176164203 11.251627323734084, -153.60527176164203 11.251627323734084))",83afeab9-ce56-48c1-9df3-9b700b52030a,/home/tobfer/.paidiverpy_cache/benthic_csv/images
